trType,posX1,posY1,posZ1,posX2,posY2,posZ2
9,12139.0,57952.3,65183.0,12602.0,58304.9,66541.2
1,12139.0,57952.3,65183.0,11541.0,58335.8,71683.0
10,12602.0,58304.9,66541.2,14095.7,59354.0,70441.2
2,11661.9,58047.2,63883.0,12139.0,57952.3,65183.0
